 "41.29228609507841,-96.13565597639122","20 GRAND THEATRE"
 "41.29968585790584,-95.9471391393802","3-5-7 CLUB"
 "41.25233411408183,-95.99277336447615","3 HAPPINESS EXPRESS"
 "41.341188706099274,-95.9618038698257","3'S LOUNGE"
 "41.257542764154095,-95.93522890385987","801 CHOP HOUSE"
 "41.25977308278675,-95.94560708007799","ABRAHAM CATERING @ JOSLYN"
 "41.23420622095256,-95.91689718941717","ABRAHAM CATERING @ THE GARDENS"
 "41.25233537433842,-95.93945395849731","ABSOLUTELY FRESH SEAFOOD CO"
 "41.247586046784804,-96.0988398982472","ABSOLUTELY FRESH SEAFOOD CO"
 "41.2855324694856,-96.07178064315852","A CATERED AFFAIR"
 "41.22611811103945,-96.0816014910667","ACCESS 66 CATERING"
 "41.20665013051598,-96.13048070964118","ADDY'S GRILL"
 "41.27983415899784,-96.05247870670514","AFRICAN FARMS"
 "41.25236263594417,-95.9837255013099","A GIRLS BEST FRIEND"
 "41.23396811977316,-96.14099684747259","A HILL OF BEANS INC"
 "41.31303992658218,-95.96821603589461","A J ICE CREAM (seasonal)"
 "41.30232000799293,-95.95654283595428","ALDI FOODS"
 "41.21401557793598,-95.9584224189955","ALDI FOODS #41"
 "41.23578816426533,-96.12155943511056","ALDI FOODS #42"
 "41.29052989618879,-96.05277928630966","ALDI FOODS #75"
 "41.260689999643944,-95.94059000012828","ALEGENT HEALTH LAKESIDE HOSP"
 "41.35357237044275,-95.97382780535742","ALPINE INN"
 "41.237847611712425,-96.01230979499115","AMATO'S FOODS INC"
 "41.20298573632569,-96.13170859503782","AMAZING PIZZA MACHINE (THE)"
 "41.326601702784046,-96.06177250660267","AMCON DISTRIBUTING"
 "41.26596701145903,-96.08131760938885","AMERICAN BOTTLING COMPANY"
 "41.29957707580354,-95.97544658501016","AMES AVE CONVENIENCE"
 "41.26477331326964,-95.99024942561243","AMSTERDAM FALAFEL & KABON"
 "41.27791240811774,-95.8988243481138","ANCHOR INN (seasonal)"
 "41.23736197781659,-96.19535780083487","ANDERSON AMOCO FOOD SHOP"
 "41.227181652444926,-96.02388406950826","ANDERSON BP AMOCO"
 "41.2197442592626,-95.96894448673834","ANDY'S PLACE"
 "41.29231141726564,-96.11990916322665","APPLEBEE'S NEIGH BAR/GRILL"
 "41.232487652417774,-96.19721939743556","APPLEBEE'S NEIGH BAR/GRILL"
 "41.31527923843515,-96.02394702205032","APPLEBEE'S NEIGH BAR/GRILL"
 "41.25968315058378,-96.02886631355057","APPLEBEE'S NEIGH BAR/GRILL"
 "41.2283777507439,-96.13745045536825","APPLEBEE'S NEIGH BAR/GRILL"
 "41.311248844894294,-96.05245448872223","ARAMARK/CONAGRA"
 "41.21579623555397,-96.04895716768516","ARAMARK REFRESHMENT SERVICE"
 "41.25880181499508,-96.03961321180071","ARBORETUM ON FARNAM (THE)"
 "41.30072820800109,-96.02376715764444","ARBY'S ROAST BEEF REST"
 "41.263488146226564,-96.06993929033337","ARBY'S ROAST BEEF REST"
 "41.25967415736352,-95.97845931380829","ARBY'S ROAST BEEF REST"
 "41.229154416997,-96.1383808984178","ARBY'S ROAST BEEF REST"
 "41.208439781354286,-96.08142269294285","ARBY'S ROAST BEEF REST"
 "41.23419636427343,-96.18408030258746","ARBY'S ROAST BEEF REST"
 "41.23219087614808,-96.10074013013224","ARBY'S ROAST BEEF REST"
 "41.23422334393433,-96.04496417787504","ARBY'S ROAST BEEF REST"
 "41.23392656766464,-96.14166827568567","ARBY'S ROAST BEEF REST"
 "41.292236780421874,-96.12637721852595","ARBY'S ROAST BEEF REST"
 "41.24247012694303,-96.02397400171117","ARBY'S ROAST BEEF REST"
 "41.2902870792409,-96.05273432020817","ARBY'S ROAST BEEF REST"
 "41.24054192019026,-95.99569147097435","ARBY'S ROAST BEEF REST"
 "41.20394317120781,-96.13530107571825","ARBY'S ROAST BEEF REST"
 "41.21794229947523,-95.99040444786029","ARBY'S ROAST BEEF REST"
 "41.21972084596847,-96.04103869591822","ARCTIC GLACIER ICE CO"
 "41.294289062271275,-96.05259042868352","ARENA SPORTS BAR & GRILL"
 "41.25977834607053,-96.09107845385859","ARTHUR'S 4 SEASONS"
 "41.201703859354836,-95.94431205635578","ASSUMPTION SCHOOL"
 "41.25834316076015,-95.93718043266347","ATHENIAN GYROS"
 "41.20948213144948,-95.9475849645414","ATTITUDE ON FOOD"
 "41.229154416997,-96.1383808984178","AUNTIE ANNE'S - OAKVIEW MALL"
 "41.27985606430407,-96.02396739431924","AUSSIE'S PUB INC"
 "41.24871142182633,-96.07714192008342","AVP ENERGY #3 - SINCLAIR"
 "41.23298589018061,-96.17848790341061","BABY BLUE SUSHI SAKE GRILL"
 "41.260689999643944,-95.94059000012828","BAGEL BIN INC"
 "41.28602429282199,-96.08143168616317","BAG N SAVE"
 "41.27776561536755,-96.15799331196553","BAG N SAVE"
 "41.226983801598465,-95.99202109001016","BAG N SAVE"
 "41.20626342204338,-96.15546387561511","BAG N SAVE"
 "41.267374048156086,-96.0922054279087","BAG N SAVE"
 "41.28330735323411,-96.0527713030624","BAG N SAVE #8"
 "41.246753266953064,-96.10056784061096","BAILEY'S"
 "41.29854285546986,-96.02376715764444","BAKER'S #301"
 "41.23398052698644,-96.10163945216152","BAKER'S #302"
 "41.29225659448508,-96.119886696136","BAKER'S #315"
 "41.32651915990344,-95.95773457173222","BAKER'S #316"
 "41.235583988825105,-96.18645123272648","BAKER'S #320"
 "41.2635142624286,-96.15569769934274","BAKER'S #321"
 "41.256348891912964,-95.93319693587463","BAR 415"
 "41.26553773699453,-96.09098248611434","BARFLY"
 "41.28416269622136,-96.00838875094342","BARLEY STREET TAVERN"
 "41.22710071346228,-96.13282794013764","BARNES & NOBLE INC"
 "41.25747314925287,-95.94700200953588","BARNEY'S 308"
 "41.25628012885517,-95.92933033043016","BARRY O'S"
 "41.21415047624038,-95.94704599532486","BASKET FOOD"
 "41.2195823812973,-96.14067002823316","BEAR CREEK COFFEE"
 "41.23414909938711,-96.10197548382024","BEL-AIR BANQUET ROOM (THE)"
 "41.24211417354255,-96.00467302913101","BELLE RYAN SCHOOL CAFETERIA"
 "41.315063584681226,-95.96863976263097","BELVEDERE SCHOOL CAFETERIA"
 "41.29216543699027,-96.1035189300575","BENE PIZZA & PASTA"
 "41.28494424292808,-96.00750291874456","BENSON GRIND"
 "41.28499007248831,-95.99348698491792","BENSON HIGH SCH CAFETERIA"
 "41.30491005543729,-96.02377615086476","BENSON PARK GOLF COURSE"
 "41.237847611712425,-96.03204092031399","BERGAN HOSPITAL (ARCHBISHOP)"
 "41.20550407920473,-96.12171547859421","BERNIE'S PIZZA PARLOR"
 "41.220087822668646,-96.10068183432617","BETTER BODIES INC"
 "41.25992408551596,-96.03743030685767","B & G TASTY TREATS"
 "41.26601054740358,-96.128406620104","BIAGGI'S RISTORANTE ITALIANO"
 "41.28498107926799,-96.00309174419084","BIG BEAR SINCLAIR"
 "41.29957707580354,-95.95760403594886","BIG JIM'S PLUS"
 "41.31794016498561,-96.02404279983395","BIG LOTS"
 "41.23578816426533,-96.12155943511056","BIG LOTS"
 "41.287733004677705,-95.98054574091628","BIG MAMA'S KITCHEN & CATERING"
 "41.20906031355452,-96.12520168932917","BIG RED MINI MART"
 "41.28472027587952,-95.97211909350176","BILL'S CONVENIENCE MART"
 "41.21415047624038,-95.94704599532486","BIRRICRIA EL CHALAN"
 "41.25650768036161,-95.94092440020361","BISHOP'S BAR & GRILL"
 "41.29957707580354,-95.97547356467106","BJ'S"
 "41.20389089123417,-96.13070106298538","BLIMPIE SUBS & SALADS"
 "41.27610464917051,-96.1388872584597","BLIMPIE SUBS & SALADS"
 "41.2330812049571,-96.1975161737052","BLIMPIE SUBS & SALADS/SAMURAI SAMS/ASHBYS"
 "41.25329198997974,-95.92962726515118","BLISS OLD MARKET BAKERY @ AROMAS"
 "41.293674152081465,-96.11970841110005","BLOCKBUSTER VIDEO #31042"
 "41.26907207256971,-96.06553167268515","BLOOMFIELD FORUM IND RET COM"
 "41.260689999643944,-95.94059000012828","BLUE CROSS BLUE SHIELD"
 "41.24881034724956,-96.08112591667322","BLUE MARTINI"
 "41.2378373074159,-96.01062473534608","BLUE PLANET"
 "41.28749018772976,-96.14067902145342","BLUE SUSHI SABE GRILL"
 "41.20853870677752,-96.07321188281537","BLUMFIELD SCHOOL"
 "41.2596921438041,-95.98935909680341","BOB MONKEY'S NOODLE ZOO"
 "41.257383660719356,-95.93838289552845","BOBS GRILL & CAFÉ"
 "41.260689999643944,-95.94059000012828","BOHEMIAN CAFE"
 "41.25338875983749,-95.93072335735317","BOILERROOM RESTAURANT (THE)"
 "41.25794365038331,-96.07384251332766","BONEFISH GRILL"
 "41.213458342538445,-96.10482984053004","BOOKS A MILLION"
 "41.259548269826446,-96.02389085366981","BORDERS BOOKS/ MUSIC/CAFE"
 "41.291815926690674,-96.1181510046195","BORDERS BOOKS/MUSIC/CAFE"
 "41.26553773699453,-96.09098248611434","BOSTON MARKET"
 "41.256553509921844,-95.93501306657282","BOXCAR GRILL"
 "41.28141020618942,-96.23753241170624","BOYD AND CHARLES BBQ"
 "41.260689999643944,-95.94059000012828","BOYS TOWN GREAT HALL"
 "41.260689999643944,-95.94059000012828","BRANDEIS CAFETERIA"
 "41.265136417445,-95.99091489731923","BREAD OVEN (THE)"
 "41.248755524469004,-96.0295257743635","BREW BURGERS"
 "41.20138799662341,-96.04422103738304","BREWSKY'S"
 "41.206338497574734,-96.15538956268531","BREWSKY'S FOOD & SPIRITS"
 "41.259698682110404,-96.18105918338131","BRIX"
 "41.24885617680985,-96.04792710671582","BROADMOOR MARKET (THE)"
 "41.25240763536675,-95.98252424938073","BRONCO'S DRIVE IN #0002"
 "41.24783008623763,-96.10062321826842","BRONCO'S DRIVE IN #0005"
 "41.28640200807433,-96.05225767953266","BROOK PARK LOUNGE"
 "41.260689999643944,-95.94059000012828","BROTHERS LOUNGE 2002"
 "41.245973154758794,-96.09861115540802","BROTHERS SEBASTIANS STEAK HOUSE"
 "41.25981933331423,-96.0910774291775","BRUEGGER'S BAGEL BAKERY"
 "41.23397362046956,-96.11679615801184","BRUEGGERS BAGEL BAKERY"
 "41.26009683871729,-96.03844409316264","BUCHANAN'S W DODGE AMOCO"
 "41.2125676694688,-95.98084251718598","BUCKS"
 "41.238800893063456,-95.94702800888427","BUCKY'S AMOCO"
 "41.21102083557838,-96.08143168616317","BUCKY'S EXPRESS"
 "41.22946593039933,-96.043120567715","BUCKY'S EXPRESS"
 "41.28524781643874,-96.0708181852127","BUCKY'S EXPRESS"
 "41.235374476131824,-96.11956294020547","BUCKY'S EXPRESS #20"
 "41.259440333635894,-95.973324185021","BUCKY'S EXPRESS #40"
 "41.23491582189689,-96.16505964166777","BUCKY'S EXPRESS #61"
 "41.21138016218149,-96.0621115223173","BUFFALO COMPANY"
 "41.21550277777304,-96.13857216657112","BUFFALO WILD WINGS"
 "41.212473376604784,-95.98802147119794","BUFFALO WILD WINGS"
 "41.260724302240746,-96.03139123778051","BUFFALO WILD WINGS"
 "41.292085723299465,-96.14215390958151","BUFFALO WILD WINGS"
 "41.212630622010806,-96.10487701146701","BUFFALO WINGS & RINGS"
 "41.21252270336731,-95.98869359850175","BURGER KING"
 "41.2041859881557,-96.12918568591897","BURGER KING"
 "41.2596921438041,-96.03240064912575","BURGER KING"
 "41.25975595980498,-95.9816119771142","BURGER KING"
 "41.25972811668527,-95.95557156816261","BURGER KING"
 "41.264523028662666,-96.06701102755102","BURGER KING"
 "41.276779262360776,-96.02389306272858","BURGER KING"
 "41.229154416997,-96.1383808984178","BURGER KING"
 "41.29847090970753,-96.00470153062327","BURGER KING"
 "41.260689999643944,-95.94059000012828","BURGER KING"
 "41.29216666228211,-96.1273600621995","BURGER KING"
 "41.23562168085079,-96.19134411798899","BURGER KING"
 "41.237047215106315,-95.93334032759833","BURGER KING"
 "41.21719917791967,-95.9470370021046","BURGER KING"
 "41.25425937528831,-96.02448121081642","BURGER KING"
 "41.22149793721974,-95.97597718500742","BURGER KING"
 "41.300242574105255,-95.95653384273396","BURGER KING"
 "41.22686688973465,-96.02490030340135","BURGER KING"
 "41.32884149712503,-95.95838186751705","BURGER KING"
 "41.26295668277044,-96.08996625222125","BURGER KING"
 "41.26104845777341,-96.17712291903361","BURGER KING"
 "41.23452012020397,-96.10001167928851","BURGER KING"
 "41.208178977965815,-96.08142269294285","BURGER KING"
 "41.2896968195784,-96.08031746928823","BURGER KING"
 "41.28870427246932,-96.05276129986908","BURGER KING"
 "41.241067184577275,-95.99434134084578","BURGER KING"
 "41.31832794011444,-96.06566657098955","BURGER KING"
 "41.31724875367928,-96.02397400171117","BURGER KING"
 "41.233899588003794,-96.13943795705302","BURGER KING"
 "41.28499906570863,-96.00793908992875","BURKE'S OF BALLYSHANNON"
 "41.27838087632386,-96.09830364943933","CADDY SHACK (THE)"
 "41.262415302939296,-96.03705764468295","CAFÉ ANNIE'S"
 "41.25777658788172,-95.98257820870253","CAFFEINE DREAMS COFFEE & TEA"
 "41.28481020808243,-95.95657880883545","CAJUN KITCHEN"
 "41.260689999643944,-95.94059000012828","CAKERY (THE)"
 "41.28020567929241,-96.05669133713712","CAMELOT FRIENDSHIP CENTER"
 "41.25373863197012,-95.94959107666779","CAMP FIRE USA"
 "41.22691488236452,-95.9913129787994","CANDLELIGHT LOUNGE"
 "41.229154416997,-96.1383808984178","CANDYOPOLIS"
 "41.23340519959865,-96.10575030676333","CANDY WRAPPERS"
 "41.279665388043924,-96.02396645502732","CARIBBEAN DELIGHTS"
 "41.292379650389414,-96.11565720472392","CARLOS O'KELLY'S"
 "41.205454032217006,-95.96297298846378","CARNICERIA LA HIDALGUENSE"
 "41.292265587705344,-96.14075996043607","CARRABBA'S ITALIAN GRILL"
 "41.25751976169005,-95.9372533587132","CASA BELLA PIZZA"
 "41.21606603216276,-96.05873279814364","CASA DE ORO FOODS"
 "41.260689999643944,-95.94059000012828","CATEGORY ONE GIFT & GOURMET"
 "41.248755524469004,-96.0295257743635","CATERING CREATIONS"
 "41.21775675757783,-95.93333133437807","CATHOLIC SOKOL HALL"
 "41.260689999643944,-95.94059000012828","CELEBRATE CATERING"
 "41.303642011375985,-95.97577933416102","CENTRAL PARK SCH CAFETERIA"
 "41.260689999643944,-95.94059000012828","CHARLESTON'S RESTAURANT"
 "41.264523028662666,-96.06701102755102","CHARLY'S SUBS"
 "41.229154416997,-96.1383808984178","CHARLY'S SUBS"
 "41.233989520206705,-96.10610008942689","CHATTY SQUIRREL CAFÉ (THE)"
 "41.261020431279555,-96.18495565588903","CHEESEBURGER IN PARADISE"
 "41.241497995692555,-95.98926634063398","CHEF HATTAM INC"
 "41.28157351223575,-95.9473052056264","CHEF MIKE'S CATERING"
 "41.32269864517684,-96.072402492989","CHERRY BEAN COFFEE & DELI"
 "41.286803316114074,-96.08137894745538","CHICAGO DAWG HOUSE"
 "41.259717181901486,-96.04019717805183","CHILDREN'S HOSPITAL"
 "41.229600828703724,-96.13761233333355","CHILI'S SW GRILL & BAR"
 "41.286882216657524,-96.08138099682014","CHINA 1"
 "41.267110045867085,-96.09122929604324","CHINA BUFFET"
 "41.206894629421186,-96.19155777300959","CHINA KITCHEN"
 "41.25827121499782,-96.02389306272858","CHIPOTLE"
 "41.2332430829224,-96.19240802457881","CHIPOTLE"
 "41.23398760011683,-96.11961314113046","CHIPOTLE"
 "41.291060496186105,-96.1436018180487","CHIPOTLE"
 "41.2815186894552,-95.94641646990436","CHI-TOWN CHICKEN"
 "41.2509477300925,-96.04990294398785","CHRIST THE KING SCHOOL"
 "41.2852598690971,-95.93741425639104","CHUBB FOODS"
 "41.228415510927576,-96.13209392801666","CICI'S PIZZA"
 "41.290439963985875,-96.11843878766888","CIGARROS"
 "41.24848659131902,-95.95575143256849","CIRINO'S PARK AVE"
 "41.26426057894749,-95.98089869383558","CITY BREW COFFEE"
 "41.23160564639217,-96.17676875774396","CLANCY'S PUB"
 "41.25871188279217,-95.9757703409407","CLARKSON COLLEGE BOOKSTORE"
 "41.29502650633532,-96.05270734054733","CLUBHOUSE LOUNGE"
 "41.29194183177481,-95.95656981561513","CLUB SEVILLE"
 "41.23708318798748,-96.0048274357074","CLUB TURF"
 "41.217450988087876,-96.00090639165967","COCA COLA BTLG CO OF OMAHA"
 "41.264791299710225,-95.94538224957068","COFFEE HOUSE"
 "41.2339886567479,-96.11839415026924","COHEN & KELLY'S LOUNGE"
 "41.261020431279555,-96.18495565588903","COLD STONE CREAMERY"
 "41.24885617680985,-96.04769463197125","COLD STONE CREAMERY"
 "41.27894312022515,-96.10044194241736","COLD STONE CREAMERY"
 "41.25776845812021,-95.96060043013685","COLD STONE CREAMERY"
 "41.23790157103417,-96.02033174749255","COLLEGE OF ST MARYS"
 "41.252362669265324,-95.99772279167593","COME INTO MY KITCHEN"
 "41.212612635570224,-96.07983089295101","COMFORT INN"
 "41.2307699473418,-95.9345094462364","COMFORT INN AT THE ZOO"
 "41.22701078125937,-96.02212139833085","COMFORT INN & SUITES"
 "41.273256090299924,-96.23056525769269","COMMON GROUND"
 "41.25519542971024,-96.02240424713167","COMMUNITY ALLIANCE INC"
 "41.27410827593377,-95.93746821571284","CONAGRA - OMAHA A PLANT"
 "41.260689999643944,-95.94059000012828","CONAGRA - OMAHA B PLANT"
 "41.27874877760496,-95.94384440890053","CONESTOGA SCHOOL CAFETERIA"
 "41.229154416997,-96.1383808984178","COOKIE COMPANY (THE)"
 "41.264523028662666,-96.06701102755102","COOKIE COMPANY (THE)"
 "41.23574683851901,-96.12148427975276","COOKIE'S BY DESIGN"
 "41.23326187087962,-96.08293616211914","CORKSCREW WINE & CHEESE"
 "41.235734204943526,-95.9470370021046","CORNER FOOD MART"
 "41.19905085936841,-95.97207412740028","CORRIGAN MULTI-PUR SENIOR CT"
 "41.26348437948908,-96.10465098831047","COSTCO WHOLESALE"
 "41.282400025043955,-96.09938215386796","COUNTRY INN/SUITES BY CARLSON"
 "41.20702925613479,-96.08150082650593","COUNTRY SLICED HAM"
 "41.259359394653245,-95.92922143270414","COURTYARD BY MARRIOTT"
 "41.24312663202437,-96.01463903904704","COURTYARD BY MARRIOTT/AKSARBEN"
 "41.23098578462884,-96.04311157449467","CRANE COFFEE"
 "41.26329842514161,-96.03524250673831","CRANE COFFEE"
 "41.29213818620799,-96.11509539062621","CRANE COFFEE"
 "41.20629939492454,-96.15390804850443","CRANE COFFEE"
 "41.23786559815301,-96.00424287638833","CRANE COFFEE"
 "41.260689999643944,-95.94059000012828","CRANE COFFEE/METHODIST WOMENS HOSPITAL"
 "41.26512404886108,-95.94241448687399","CREIGHTON UNIV/HARPER CENTER"
 "41.26578055394248,-95.95653384273396","CREIGHTON UNIV/MED CENTER"
 "41.25774960822082,-95.96631846641276","CRESCENT MOON ALE HOUSE"
 "41.266466375219686,-96.08281707304594","CROWN PLAZA OMAHA OLD MILL"
 "41.2327484558063,-96.03631269995316","CROWN POINTE"
 "41.32029659189982,-95.94033610548975","CRYSTAL CLEAR WATER INC"
 "41.20927615084156,-96.02372219154296","CT JEWEL OMAHA"
 "41.34305929592023,-95.98320773412303","CUBBY'S"
 "41.20626760244153,-96.15441619966867","CULVER'S BUTTERBURGERS"
 "41.28232042665155,-96.0997274208126","CULVER'S BUTTERBURGERS"
 "41.24641167929947,-96.0988255766925","CUPCAKE ISLAND"
 "41.306708699495914,-96.08081115396294","CVS PHARMACY"
 "41.292265587705344,-96.1398426519662","CVS PHARMACY"
 "41.28612918417271,-96.23385410797192","DAIRY CHEF"
 "41.27710301829137,-96.02389306272858","DAIRY QUEEN"
 "41.29946915716005,-96.00622138485278","DAIRY QUEEN"
 "41.29225659448508,-96.1181240249586","DAIRY QUEEN"
 "41.264523028662666,-96.06701102755102","DAIRY QUEEN/ORANGE JULIUS"
 "41.262426082773175,-96.09098248611434","DAIRY QUEEN/WEST DODGE"
 "41.215892596789146,-96.0816034910054","DANDELI SPECIALTY FOODS INC"
 "41.278191197946796,-96.02388406950826","DANNYS BAR & GRILL"
\"zip\":\"\"}"	 "41.23306321851652", "-96.1785224924464","DANTE'S PIZZA"
 "41.265133905540154,-95.98840890071561","DARIO'S"
 "41.23578816426533,-96.12155943511056","DAVE & BUSTER'S"
 "41.28665381824254,-96.09833894031402","DC CENTRE"
 "41.34546947895876,-95.98543805275568","D & D SALADS INC"
 "41.21956439485672,-96.12799858084031","DEEP ROCK/FONTENELLE WATER"
 "41.22531106262397,-96.0423561439901","DENNY'S RESTAURANT #6635"
 "41.23243369309603,-96.0496406524274","DES GROUP / WEST OMAHA DAY CAFÉ"
 "41.29028478780438,-96.10203297274258","DEUCE'S LOUNGE/GRILL"
 "41.21495986606669,-96.1336822960655","DIGZ (THE)"
 "41.19918575767281,-96.00464757130152","DILORENZO-PENKE"
 "41.22232077050673,-96.12200926313352","DI MANUFACTURING LLC"
 "41.260689999643944,-95.94059000012828","DINER (THE) @ CREIGHTON UNIV"
 "41.23666949985403,-95.95438446308395","DINKERS BAR"
 "41.2197442592626,-95.98131915786149","DISABLED AMERICAN VETERANS"
 "41.25234234371144,-95.94101043919102","DIXIE QUICKS MAGNOLIA ROOM"
 "41.239055847315925,-96.11257925683891","DIXIE'S FINEST WHIPPED ICING"
 "41.34332219655479,-95.96503189899067","D LOUIS BLACK POST 3421 VFW"
 "41.19255775431685,-96.17750625855331","DOC & EDDIE'S BBQ"
 "41.287733004677705,-95.98054574091628","DOG DOCTOR (THE)"
 "41.30888103024805,-96.05276428155679","DOLLAR GENERAL #4570"
 "41.28521187866304,-96.08126197906364","DOLLAR GENERAL #4858"
 "41.28724726842189,-96.05276516779311","DOLLAR GENERAL #7382"
 "41.29962946324902,-96.00078881498861","DOLLAR GENERAL #7383"
 "41.233989520206705,-96.10561445553105","DOLLAR TREE"
 "41.21351282105837,-95.95053313231614","DOLLAR TREE"
 "41.286750493711494,-96.05221061330843","DOLLAR TREE #2308"
 "41.235653265960934,-96.13463557741653","DOLPHIN'S CAR WASH"
 "41.215176566812545,-96.13782664175763","DOMINO'S PIZZA"
 "41.29721185886649,-96.02284085595426","DOMINO'S PIZZA"
 "41.26811196953763,-96.23464386109936","DON CARMELOS PIZZERIA"
 "41.23318626777432,-96.0817452628646","DON CARMELOS PIZZERIA"
 "41.23417837783285,-96.08092806582675","DON & MILLIE'S"
 "41.25777658788172,-95.97989822905521","DON & MILLIE'S"
 "41.21226189997884,-95.96228051050122","DONOHUE'S SPORTS PUB & GRILL"
 "41.20662315085514,-96.13010299438889","DONUT HAVEN"
 "41.26741437138407,-96.23520394383091","DONUT PROFESSOR (THE)"
 "41.291060496186105,-96.1436018180487","DONUT PROFESSOR (THE)"
 "41.24522291581144,-95.97470104704786","DOUGLAS COUNTY HEALTH CENTER"
 "41.260689999643944,-95.94059000012828","DOUGLAS COUNTY WAREHOUSE"
 "41.260689999643944,-95.94059000012828","DOUGLAS COUNTY WEST MIDDLE SCHOOL"
 "41.27756708871154,-96.10260498499201","DOWNING'S HOMESTYLE DELI/ICE"
 "41.21145251015247,-95.95144368004816","DREISBACK'S STEAKS INC"
 "41.239079682892566,-96.02621331356414","DROVER (THE)"
 "41.295494153790514,-95.95656981561513","DRUID HILL ELEMENTARY"
 "41.290257794155096,-96.11959762660958","EAGLE RUN GOLF (seasonal)"
 "41.24535846625608,-96.15990557449133","ECLIPSE TAVERN"
 "41.21432134742594,-96.0835630793726","ECONO LODGE OF OMAHA"
 "41.2650790827596,-95.99047425611974","ECREAMERY"
 "41.20792716779761,-95.94706398176544","EDDIE'S CATERING"
 "41.233917574444376,-96.15996048576164","EDDYS"
 "41.24765022183175,-96.02234622883816","EDIBLE ARRANGEMENTS"
 "41.24765022183175,-96.02234622883816","EILEEN'S COLOSSAL COOKIES"
 "41.23397464658867,-96.14138274139312","EILEEN'S COLOSSAL COOKIES"
 "41.24881034724956,-96.02936993388698","EL BASHA"
 "41.23259610315654,-96.08381050141702","ELITE LOUNGE & GRILL"
 "41.260689999643944,-95.94059000012828","ELKHORN RIDGE GOLF/THE RIDGE BANQUET"
 "41.260689999643944,-95.94059000012828","ELKHORN SOUTH HIGH SCHOOL"
 "41.260689999643944,-95.94059000012828","ELK RIDGE INDEPENDENT LIVING"
 "41.24875638792781,-96.00775922552293","ELMWOOD GOLF COURSE"
 "41.252281730282675,-95.99508777813008","ELMWOOD TOWER"
 "41.219996069430806,-95.94702800888427","EL PUERTO NUEVO"
 "41.231282560898535,-95.94176697501285","EL QUETZAL"
 "41.238291999486826,-95.9428195526159","EL RANCHO"
 "41.25479083874444,-95.9292574055853","EMBASSY SUITES HOTEL"
 "41.21792762876339,-96.043120567715","ENTENMANN'S - OROWEAT"
 "41.278474448588334,-96.05380889145636","ER BAR (THE)"
 "41.30205021138414,-96.10066818436991","ERIN COURT CATERING"
 "41.28499906570863,-96.00673399840952","ESPANA RESTAURANT"
 "41.24415185913779,-95.93331334793743","ETHNIC SANDWICH SHOP"
 "41.26611330309328,-96.1315958689575","EUREST DINING SERVICES"
 "41.2197442592626,-95.98816299850444","EXCLUSIVE DISTRIBUTING / LORRI'S LUNCH BOX"
 "41.2958988487037,-95.95567948680616","FAMILY DOLLAR #4476"
 "41.27314600136242,-95.94702800888427","FAMILY DOLLAR #6879"
 "41.23918760153606,-95.97582430026245","FAMILY SERVICE SENIOR CENTER"
 "41.23786559815301,-96.00382019503456","FAN TAN CLUB"
 "41.29132129957458,-96.10068617081049","FANTASY'S INC"
 "41.260528513291376,-96.17703861109806","FANTASY'S INC"
 "41.30668171983501,-96.05313901512136","FANTASY'S INC"
 "41.281248892846406,-96.05269834732701","FANTASY'S INC"
 "41.22860788870808,-96.0430389501634","FARMHOUSE CAFE & DELI"
 "41.259629191262036,-95.92828613779369","FARRELL'S BAR & GRILL"
 "41.236507621888734,-96.11951797410404","FAZOLI'S RESTAURANT"
 "41.257523914254705,-95.94535536181127","FEDERAL RESERVE BANK"
 "41.266564938226466,-96.09096550433632","FEDORA LOUNGE"
 "41.24881034724956,-96.03072791015126","FERNANDO'S ON PACIFIC"
 "41.26718216707018,-96.09138480738743","FETA'S GYROS"
 "41.26590732248536,-95.93364655592113","FILM STREAMS INC"
 "41.34611832041274,-95.96537021804039","FINICKY FRANKS"
