 "41.29228609507841,-96.13565597639122","20 GRAND THEATRE"
 "41.216308849110646,-96.10067717759017","FINNEGAN'S"
 "41.26250392970868,-96.18670359167555","FIREBIRDS"
 "41.22695682193756,-96.00555588655112","FIRE FIGHTERS HALL"
 "41.24879236080898,-96.02618633390324","FIRST DATA RESOURCES"
 "41.24869257192694,-96.02034856817528","FIRST DATA RESOURCES"
 "41.26660046058985,-96.11945554043083","FIVE GUYS BURGER & FRIES"
 "41.23222470937624,-96.04190553076452","FLASHBACKS"
 "41.25531244552138,-95.93888914451912","FLAT IRON CAFE"
 "41.257835374036254,-96.07378478468729","FLEMING PRIME STEAKHOUSE"
 "41.249863329630884,-95.9292487692774","FLIXX"
 "41.34606704033852,-95.96532826161602","FLORENCE FOOD MART"
 "41.340118512884374,-95.96061676474699","FLORENCE MULTI-PUR SENIOR CT"
 "41.33117925191317,-95.96865670368896","FLORENCE SCHOOL CAFETERIA"
 "41.29422111955651,-95.99500520216516","FONTENELLE SCH CAFETERIA"
 "41.21423141522297,-96.07774446584301","FOOD BANK (THE)"
 "41.23042820497068,-96.02157281189295","FORTY AND EIGHT CLUB"
 "41.20298089663646,-96.08142269294285","FOUNTAIN VIEW INDEPENDENT LIVING"
 "41.31840672072422,-95.95662482378403","FOUR ACES KWIK STOP"
 "41.2780220008325,-96.09135804301165","FOX HOLLOW COFFEE"
 "41.20527416781118,-95.9957892493129","FRANK'S FOOD STORE"
 "41.266735257362285,-96.11944711563255","FRANK'S PIZZARIA"
 "41.285008058928895,-96.02592553051477","FRIENDSHIP PROGRAM INC"
 "41.260689999643944,-95.94059000012828","FSI NUTRITION"
 "41.23303544714501,-96.17831936612394","FUDDRUCKERS"
 "41.213413032176334,-96.10940959449471","FUJI FOODS"
 "41.28615919112639,-96.00894633060159","FULLHOUSE BAR"
 "41.29580891650079,-95.94697404956253","FUZZY'S NOW"
 "41.26990844205693,-95.92289919883814","GALLUP CONTEMPORARY FOOD MANAGEMENT"
 "41.23789257781385,-96.01002551703675","GANDOLFO'S DELI"
 "41.2486664557249,-96.09910336403891","GANDOLFO'S DELI"
 "41.23393000251322,-96.10247319170465","GATOR O'MALLEY'S"
 "41.23689433036134,-96.13540899436174","GEORGETOWN CLUB (THE)"
 "41.23697103450359,-95.98172289560932","GEORGE W NORRIS JR HI CAFTERIA"
 "41.22354839144651,-96.1007491233525","GERMAN AMERICAN SOCIETY"
 "41.28406377079813,-95.9805277544757","GIRLS INC OF OMAHA"
 "41.260689999643944,-95.94059000012828","G & M SMOOTHIES"
 "41.25766866923817,-95.95606619527877","GODFATHER'S PIZZA"
 "41.32714129600163,-95.95783785967649","GODFATHER'S PIZZA"
 "41.2867977097672,-96.08144967260375","GODFATHER'S PIZZA"
 "41.260689999643944,-95.94059000012828","GODFATHER'S PIZZA #28028"
 "41.284738262320104,-96.08147665226466","GODFATHER'S PIZZA (TEST KITCHEN)"
 "41.260689999643944,-95.94059000012828","GOLDBERGS"
 "41.29948714360063,-96.01394656108448","GOLDEN CHINA INC"
 "41.31357052657944,-96.02392903560974","GOLDEN CORRAL"
 "41.24155281847311,-95.98864863240027","GORATS STEAK HOUSE"
 "41.28618617078729,-95.93739626995045","GQ BBQ SOUTHERN CUISINE"
 "41.245797618451434,-95.92819620559072","GRACE UNIVERSITY"
 "41.260689999643944,-95.94059000012828","GRANDPA'S C-MART"
 "41.267731298546124,-96.07140824982702","GRANITE CITY"
 "41.27952292430378,-96.05107166197665","GRANT STREET BAR & GRILL"
 "41.21623690334832,-96.06808574724835","GRATTON WAREHOUSE CO"
 "41.260689999643944,-95.94059000012828","GREAT ESCAPE THEATER"
 "41.26160509762002,-96.15856972682705","GREAT HARVEST BREAD CO"
 "41.23275804744909,-96.08284391033644","GREAT HARVEST BREAD CO"
 "41.2650790827596,-95.98879252392499","GREAT HARVEST BREAD CO"
 "41.241525838812265,-95.96918730368623","GREEK ISLANDS (THE)"
\"zip\":\"\"}"	 "41.233989520206705", "-96.10681055383003","GREENBELLY"
 "41.21624589656864,-96.06489315404434","GREENBERG FRUIT CO INC"
 "41.22701164471812,-96.01129803202987","GROVER LITTLE LEAGUE"
 "41.226740984650576,-95.97585127992335","GROVERS INN"
 "41.26809181155778,-95.93214422929935","HAMPTON INN"
 "41.26349627598802,-96.06515395743281","HAMPTON INN"
 "41.236093933755285,-96.19000683476054","HAMPTON INN"
 "41.212612635570224,-96.10702639111702","HARDEE'S"
 "41.21226189997884,-95.96195675457068","HARDEE'S"
 "41.27784046235536,-96.04741033379474","HAROLD'S BAR"
 "41.335846733245205,-95.96025703593529","HAROLD'S KOFFEE HOUSE"
 "41.28504403181006,-95.99768681879476","HARTLAND BAR-B-QUE"
 "41.255502166606334,-95.92939370981348","HAVANA GARAGE"
 "41.23230131881589,-96.04190553076452","HECTOR'S RESTAURANT"
 "41.260689999643944,-95.94059000012828","HENRY DOORLY ZOO"
 "41.226894131974724,-96.00803358748038","HERMAN NUT/PEARS COFFEE"
 "41.27775367570812,-96.03671887249232","HILLSIDE PUB INC"
 "41.25967415736352,-95.92987793778553","HILTON GARDEN INN-SPENCER'S RESTAURANT"
 "41.291743980928345,-96.11521022158365","HIRO JAPANESE RESTAURANT"
 "41.2635142624286,-96.15569769934274","HISSHO SUSHI / IN BAKERS"
 "41.29225659448508,-96.119886696136","HISSHO SUSHI / IN BAKERS"
 "41.25066295062993,-95.9864632798691","HISSHO SUSHI / IN BAKERS"
 "41.32172737738523,-96.07216866926137","HOLIDAY INN EXPRESS"
 "41.205046666516445,-95.99627917132698","HOLY GHOST SCHOOL"
 "41.285167624016836,-95.98315283509214","HOLY NAME SCHOOL"
 "41.310872631895606,-96.00449601539117","HOLY NAME SOCIAL HALL"
 "41.265945372328815,-96.12325555193141","HOME INSTEAD"
 "41.268019865795395,-95.93317844963303","HOMEWOOD SUITES"
 "41.23298908333391,-96.17823657360412","HONEY BAKED HAM & CAFÉ"
 "41.20927615084156,-96.08142269294285","HONG KONG CAFE"
 "41.279434237307,-95.94234216980425","HOPE SKATE"
 "41.2051879988867,-96.01107109818221","HORSEMEN'S PARK"
 "41.2289776187392,-96.04976740730454","HOUSE OF BEERS WHOLESALE"
 "41.25539252104522,-95.93208236877658","HOUSE OF LEE CALIFORNIA BBQ GRILL"
 "41.285790469094366,-95.95657880883545","HOWARD KENNEDY SCH CAF"
 "41.26654882360579,-96.09110979188016","HUHOT MONGOLIAN GRILL"
 "41.249835574362976,-96.02393802883","HUHOT MONGOLIAN GRILL"
 "41.24127402864406,-95.99299235780182","HY-VEE FOOD #1"
 "41.28893041228445,-96.1582770558938","HY-VEE FOOD #10"
 "41.306708699495914,-96.08310442513766","HY-VEE FOOD #4"
 "41.26646403868472,-96.11953596054462","HY-VEE FOOD #8"
 "41.241256042203474,-95.99316322898738","HY-VEE GAS"
 "41.19813355089849,-96.13971674688207","HY-VEE GAS"
 "41.20595765255342,-96.19444948558527","HY-VEE GAS"
 "41.23417837783285,-96.05229365241382","HY-VEE GAS"
 "41.28886873534171,-96.15827380973892","HY-VEE GAS #10"
 "41.266446052244135,-96.11953596054462","HY-VEE GAS #8"
 "41.234231698008706,-95.94833926510125","ICC BOWLATORIUM"
 "41.223395506701536,-96.03186105590817","IDEAL PURE WATER"
 "41.233998513427025,-96.10881604195532","IHOP #5325"
 "41.30187034697826,-96.02376715764444","IHOP #5338"
 "41.24017685576831,-96.18719195680882","IMMANUEL LAKESIDE VILLAGE"
 "41.32141995689974,-96.02372170582395","IMMANUEL MEDICAL CENTER"
 "41.32064819095007,-96.01609594073454","IMMANUEL VILLAGE STORE"
 "41.29209647889949,-96.2292006438717","INDIAN CREEK GOLF COURSE"
 "41.25544734382578,-95.92979699880289","INDIAN OVEN"
 "41.2576588125591,-95.96042790712082","INGREDIENT"
 "41.254799831964704,-95.94601177499118","INTER-TRIBAL TREATMENT CTR"
 "41.256643442124755,-95.95481613765804","INT'L SPECIALTY FOODS"
 "41.254377150610935,-95.93161362930209","JACKSON STREET TAVERN"
 "41.2491341031801,-95.92867284626624","JACOBSON FISH CO"
 "41.232756322218286,-96.08287530953709","JAIPUR RESTAURANT PUB (THE)"
 "41.28505388848919,-96.00816967609708","JAKE'S CIGARS & SPIRITS"
 "41.2178197101199,-95.98391819852617","JAMES SKINNER CO"
 "41.2197442592626,-95.99524965609533","JAMES SKINNER CO BAKERY WAREHOUSE"
 "41.260689999643944,-95.94059000012828","JAMS"
 "41.28499906570863,-96.00731855772852","JANE'S BENSON HEALTH MKT INC"
 "41.212621628790544,-96.10579431993688","JASON'S DELI"
 "41.23317261646226,-96.08154955146637","JAVA N' ICE"
 "41.260689999643944,-95.94059000012828","J C MANDARIN"
 "41.260689999643944,-95.94059000012828","J C MANDARIN"
 "41.226077817597854,-95.95855968997773","J D'S CIRCLE INN"
 "41.21425839488387,-96.04437062533572","J D'S SIMPLY HOMEMADE"
 "41.23298908333391,-96.17823657360412","JENNY CRAIG WEIGHT MANAGEMENT"
 "41.26230243559235,-96.03696853888273","JENNY CRAIG WEIGHT MANAGEMENT"
 "41.26345224505589,-96.09658414000751","JERICO'S"
 "41.28742723518769,-96.0096927678859","JERRY'S BAR"
 "41.28013373353008,-95.9470370021046","JESSE'S PLACE"
 "41.27712100473195,-96.13880843163253","JET-EX 66"
 "41.285135902685965,-95.93263087500827","JIMMY JOHN'S"
 "41.257542764154095,-95.93539078182516","JIMMY JOHN'S"
 "41.19200916787901,-96.17752424499389","JIMMY JOHN'S"
 "41.200813530545815,-96.04333640500204","JIMMY JOHN'S"
 "41.20541892279465,-96.07910657899636","JIMMY JOHN'S"
\"zip\":\"\"}"	 "41.259778667759235", "-95.9732332688052","JIMMY JOHN'S"
 "41.25762370313669,-96.02389306272858","JIMMY JOHN'S"
 "41.3269444524118,-95.9578519800751","JIMMY JOHN'S"
 "41.265853028109525,-96.22984442115168","JIMMY JOHN'S"
 "41.292085723299465,-96.14127257399281","JIMMY JOHN'S"
 "41.227170041713876,-96.132573089315","JIMMY JOHN'S"
 "41.31802217062449,-96.06656589301883","JIMMY JOHN'S"
 "41.31699994567662,-96.0240385380081","JIMMY JOHN'S"
 "41.29118640127018,-96.18052798057175","JIMMY'S EGG"
 "41.31608659581851,-95.94686814853455","J N D GROCERY"
 "41.28847944196201,-95.97575235450012","J-N-J GROCERY #2"
 "41.197439069192825,-96.06851951403067","JOHNNY GOODMAN GOLF CLUB SHOP"
 "41.212711560993455,-96.03737389994774","JOHNNY SORTINOS PIZZA PARLOR"
 "41.21421342878239,-96.05625066934277","JOHNSON BROTHERS FINOCCHIARO"
 "41.292436458890904,-95.94698304278279","JOHNSONS CORNER STORE"
 "41.260689999643944,-95.94059000012828","JONESY'S TACO HOUSE"
 "41.25982311168163,-95.94479866558304","JOSLYN ART MUSEUM"
 "41.27019972242425,-95.98300845476432","JUBA GROCERY"
 "41.235743198163846,-96.18379251953809","JUICE STOP"
 "41.2921299742458,-96.11509340842844","JUICE STOP"
 "41.23975467033506,-96.01455971636136","JUICE STOP"
 "41.232312332843975,-96.10575030676333","JULIO'S WEST"
 "41.201516030107065,-96.04446469214412","JUSTIN THYME CAFÉ & CATERING"
 "41.259026645502445,-95.97333317824132","KATIE'S RESTAURANT & TAVERN"
 "41.31229348929787,-96.07322986925595","KEEBLER CO"
 "41.30619608593918,-96.05270734054733","KEITH'S AMOCO #1 INC"
 "41.33922818407541,-95.96121931050664","KELLEY'S NORTH BOWL"
 "41.219690860884796,-96.0626196847573","KELLOGG CO"
 "41.29494556735267,-96.11965287240844","KENTUCKY FRIED CHICKEN/LONG JOHN SILVERS"
 "41.260689999643944,-95.94059000012828","KIKKA SUSHI / IN WHOLE FOODS MARKET"
 "41.25697619127561,-95.93718043266347","KING FONG CAFE"
 "41.25964575776568,-95.98107235531889","KING KONG RESTAURANT"
 "41.29231141726564,-96.12357543443278","K MART #7579"
 "41.21252270336731,-95.99164337475787","K MART CORP #4130"
 "41.31171253554397,-96.00452721187192","KO-ZEE LOUNGE"
 "41.29515750647259,-95.90063127411452","KRACKY MCGEE'S/SIMPLY SCRUMPTIONS"
 "41.25504264891265,-96.02391104916916","KRISPY KREME"
 "41.233368988006475,-96.10071315047134","KRISPY KREME"
 "41.232801365686434,-96.08176857602568","KRISTEN COOKIES"
 "41.29509845209765,-96.17737136024891","KUM & GO"
 "41.2896035944986,-96.08633299122283","KUM & GO"
 "41.28513396401303,-96.04198742195808","KUM & GO"
 "41.30657293773271,-96.12020279692373","KUM & GO"
 "41.289468696194206,-96.08144967260375","KUM & GO #347"
 "41.266176255635344,-96.0833202624247","KUM & GO #351"
 "41.277759523372765,-96.01471997802969","KUM & GO #363"
 "41.25238964892617,-95.96635443929392","KWIK SHOP # 640"
 "41.19668539571476,-96.02365110630336","KWIK SHOP #653"
 "41.2197442592626,-96.06268082185227","KWIK SHOP # 660"
 "41.277552679305984,-96.15738842475787","KWIK SHOP #665"
 "41.25239864214649,-95.98043782227279","LA CASA PIZZARIA INC"
 "41.22676796431142,-96.0404315948474","LA CASA WEST"
 "41.245986476077576,-95.95574243934817","LA CASITA RESTAURANT"
 "41.256643442124755,-95.95481613765804","LA CHARLOTTE - CANIGILIA PASTRIES"
 "41.28145522915954,-95.9423166472128","LAKE STREET CONVENIENT STORE"
 "41.20626342204338,-96.15668695357499","LA MESA MEXICAN RESTAURANT"
 "41.289216886026,-96.08544266241387","LA MESA MEXICAN RESTAURANT"
 "41.234287835071456,-95.93736176751234","LA MEXICANA ABARROTES"
 "41.33927842113722,-95.96131599890805","LANES TEXACO SERVICE"
 "41.21317920844871,-95.99065412052562","LANSKY'S"
 "41.21404255759683,-95.94704599532486","LAOS THAI MARKET"
 "41.23433621508093,-95.93759262516987","LA PALMA MARKET"
 "41.23463703206778,-96.15704668238669","LA RUE DISTRIBUTING INC"
 "41.21720817113999,-95.97609409687124","LAST CALL"
 "41.260689999643944,-95.94059000012828","LAVA JAY'S BAR & LOUNGE"
 "41.23844931725769,-96.21618076887589","LAZLO'S BREWERY & GRILL"
 "41.260689999643944,-95.94059000012828","LEGION BASEBALL/ELKHORN"
 "41.28499906570863,-96.00624836451368","LEO'S DINER"
 "41.26376221252968,-96.15661151258514","LE PEEP RESTAURANT"
 "41.277948538832035,-96.09829041461815","LE PEEP RESTAURANT"
 "41.232605427740395,-96.19155064824088","LE PEEP RESTAURANT"
 "41.26397799163783,-96.15700540953982","LE VOLTAIRE INC"
 "41.23079927675366,-96.17454014724821","LIFETIME FITNESS"
 "41.226004387524426,-96.00691952014338","LIL WILLY'S CATERING"
 "41.260267755801856,-96.08951602139996","LIQUID LOUNGE"
 "41.27925239794138,-96.05252747614145","LITTLE CAESARS PIZZA"
 "41.21340317549726,-95.95052293698598","LITTLE CAESARS PIZZA"
 "41.26152529430962,-96.15853040409465","LITTLE CAESARS PIZZA"
 "41.32731365162295,-95.95795549387263","LITTLE CAESARS PIZZA"
 "41.20516624916763,-96.19962958047404","LITTLE CAESARS PIZZA"
 "41.20456097129833,-96.1312080534674","LITTLE CAESARS PIZZA"
 "41.309129853927644,-96.052763484045","LITTLE KING RESTAURANT"
 "41.26086126244218,-96.09098248611434","LITTLE KING RESTAURANT"
 "41.23220887910828,-96.04318447246791","LITTLE KING RESTAURANT"
 "41.257622839677936,-95.95712861601707","LITTLE KING RESTAURANT"
 "41.25544734382578,-95.9321981886211","LITTLE KING RESTAURANT"
 "41.20722569661473,-96.08142269294285","LITTLE KING RESTAURANT"
 "41.23900047635042,-96.01456806969506","LIV LOUNGE"
\"zip\":\"\"}"	 "41.26054410804767", "-95.95920010398864","LOFT 610"
 "41.2340974388502,-96.18934133645888","LONESTAR STEAKHOUSE"
 "41.208862462708055,-96.08142269294285","LONG JOHN SILVER'S #5252"
 "41.21259757430284,-95.98693117113491","LONG JOHN SILVER'S #5427"
 "41.28739126230653,-95.93741425639104","LONNELL'S SOUTHERN DELIGHTS"
 "41.23201101174226,-95.96040092745994","LO SOLE MIO'S"
 "41.28985127512488,-95.94546420572642","LOTHROP SCHOOL CAFETERIA"
 "41.288857157214295,-95.94700102922337","LOTHROP SOCIAL HALL"
 "41.28499906570863,-96.00117618826846","LOUIS MARKET"
 "41.316241140620285,-96.02184366948373","MADONNA SCHOOL"
 "41.217518990554446,-96.04937601227405","MAE'S HEALTH AND WELLNESS"
 "41.25531258687318,-95.93192037667981","MAGGIE MOO'S"
 "41.26581652682364,-96.12843924863466","MAHOGANY PRIME STEAK"
 "41.24811700582819,-95.94377642385223","MALARA'S ITALIAN CARRY-OUT"
 "41.26590625189312,-95.98060859466649","MAMA'S PIZZA"
 "41.24849558453934,-96.1584766044133","MAMA'S PIZZA WEST"
 "41.25834316076015,-95.93718043266347","MANDARIN EXPRESS"
 "41.228759059497214,-96.04303994470807","MANGELSEN'S"
 "41.31839988587683,-96.0536516286781","MANGIA ITALIANA"
 "41.25838486461349,-95.94122369921294","MANHATTANS"
 "41.290368018223546,-96.17619324839052","MAPLE RIDGE ADULT LIVING"
 "41.285935445996856,-96.06997163400489","MAPLEWOOD LANES"
 "41.22643034159509,-96.02407387349467","MARGARITA'S"
 "41.2650790827596,-95.98945802222664","MARKS"
 "41.29201421759914,-96.14503969379683","MARQUEE (THE)"
 "41.22496932025285,-96.09964295725649","MARY OUR QUEEN SCHOOL"
 "41.27688168927217,-96.10057197589636","MATT EDWARDS FINE FOODS"
 "41.25435427789909,-95.93479730190147","MAX (THE)"
 "41.26285775734726,-96.11237735719135","MCAULEY CENTER"
 "41.233791669360244,-96.14054412314903","MCDONALD'S"
 "41.29338074702167,-96.11961689952722","MCDONALD'S"
 "41.225598845673346,-96.04326445923965","MCDONALD'S"
 "41.310883397680016,-96.0529005720412","MCDONALD'S"
 "41.26407954435076,-96.09071179060714","MCDONALD'S"
 "41.2988935910613,-95.95655182917454","MCDONALD'S"
 "41.29004426229295,-96.08144967260375","MCDONALD'S"
 "41.290880631780226,-96.1784955127855","MCDONALD'S"
 "41.212819479637005,-96.11370835379472","MCDONALD'S"
 "41.22139001857619,-95.97585127992335","MCDONALD'S"
 "41.23317113716007,-96.20155412961674","MCDONALD'S"
 "41.28122191318556,-96.02390205594884","MCDONALD'S"
 "41.30115988257512,-96.02376715764444","MCDONALD'S"
 "41.2596921438041,-96.03376761861028","MCDONALD'S"
 "41.24148900247229,-95.98063965767675","MCFLY'S"
 "41.27795337250996,-95.90282063617512","MCGATORS CATERING"
 "41.25834316076015,-95.93718043266347","MCGREGOR'S GARDEN"
 "41.27778537044891,-96.04762643976024","MEDITERRANEAN & EUROPEAN GROCERY"
 "41.23212894755878,-96.04190553076452","MEDITERRANEAN FOOD"
 "41.26614028275418,-96.10056925894668","MENARDS"
 "41.260689999643944,-95.94059000012828","MENARDS"
 "41.260689999643944,-95.94059000012828","METRO COMM COLLEGE FOOD SERV"
 "41.25651753704068,-95.93073229371339","MICHAEL'S AT THE MARKET"
 "41.21959137451762,-96.13954587569651","MILIO'S SANDWICHES"
 "41.20600261865491,-96.1222159401919","MILLARD DAIRY QUEEN"
 "41.23772170662829,-96.1254624927177","MILLARD OVER 60 CENTER"
 "41.201220223542045,-95.95449006809052","MILLER PARK CAFETERIA"
 "41.20524718815028,-96.01234576787232","MILT'S GOLF CENTER INC."
 "41.25178710316658,-95.93814270723482","MI MAMA'S TORTILLAS LLC"
 "41.272759292889816,-96.10053328606551","MIRACLE HILL GOLF & TENNIS"
 "41.255502166606334,-95.92932021498119","MISTER TOAD"
 "41.260689999643944,-95.94059000012828","MJ JAVA @ METRO COMM COLLEGE"
 "41.20977077795766,-96.06215022185495","MOCKINGBIRD LANES"
 "41.28547565833014,-96.08155430360476","MOE & CURLY'S PUB"
 "41.300063546091465,-96.06718823894123","MORTON JR HI CAFETERIA"
 "41.20864335962618,-95.98141245444214","MOTTO MCLEAN ICE ARENA"
\"zip\":\"\"}"	 "41.25929638408231", "-96.17801729944829","MR GOODCENTS"
 "41.26737893500488,-96.09181198240907","MR GOODCENTS"
 "41.206894629421186,-96.19155777300959","MR GOODCENTS"
 "41.27780448947419,-96.02470245255495","MT FUJI INN"
 "41.260689999643944,-95.94059000012828","MT MICHAEL ABBEY/HIGH SCHOOL"
 "41.28499906570863,-96.00569977807584","MUSETTE BAR"
 "41.260689999643944,-95.94059000012828","MUTUAL OF OMAHA"
 "41.2815186894552,-95.94641646990436","MY PLACE"
 "41.25544734382578,-95.93111000896567","MYTH"
 "41.27780448947419,-96.08003773701773","MY-T MART"
 "41.280880170814385,-96.04338137110346","MY WAY LOUNGE"
 "41.2648818156468,-96.09094650815115","NAMASTE FOODS"
 "41.21871903214918,-96.02397400171117","NASH FINCH COMPANY"
 "41.254799831964704,-95.94601177499118","NATIVE AMER NUTR PROGRAM"
 "41.25967415736352,-96.04135789653753","NEBRASKA METHODIST HOSPITAL"
 "41.232055977843686,-96.13474349606008","NEBRASKA ORTHOPEADIC HOSPITAL"
 "41.192207457470836,-96.14999305022909","NEIHARDT ELEMENTARY SCHOOL"
 "41.28305293827215,-96.182367544744","NEWMAN'S PASTA CAFÉ"
 "41.234151398172,-95.93019270049581","NEW OLD BAR (THE)"
 "41.26551383059586,-96.08405992589914","NEW YORK BURRITO"
 "41.21265760167171,-95.9659857172619","NGUYEN'S CAFETERIA"
 "41.2300836862487,-96.13838424111296","NHS CLARKSON WEST"
 "41.25463795399946,-95.93327737505626","NICOLA'S"
 "41.28132083860879,-95.98470960191196","NIFTY BAR AND GRILL"
 "41.30319235036137,-95.93733331740845","NITE HAWKES CAFE"
 "41.27781348269451,-96.03598894402262","NO FRILLS SUPERMARKET INC"
 "41.260689999643944,-95.94059000012828","NO FRILLS SUPERMARKET INC"
 "41.253295106223405,-95.92940133748579","NOMAD LOUNGE"
 "41.278020632168634,-96.02395819675793","NO NAME NUTRITION CENTER"
 "41.23373291030719,-96.14014864488239","NO NAME NUTRITION CENTER"
 "41.25875509877698,-96.02380496315854","NOODLES & CO"
 "41.2993882181774,-95.96609363590545","NORTH HI SCH CAFETERIA"
 "41.24865659904577,-96.07418700298393","NOTHING BUNDT CAKES"
 "41.260689999643944,-95.94059000012828","OAKDALE ELEM SCHOOL"
 "41.21432134742594,-96.04812079819789","OASIS VENDING"
 "41.249916513345624,-96.02783209321689","O'BRIEN'S LOUNGE"
 "41.25544734382578,-95.932746775059","O'CONNOR'S IRISH PUB"
 "41.22690796576029,-95.99071815083583","O'DONNELLS POPCORN (VIC'S CORNPOPPER)"
 "41.22690796576029,-95.99071815083583","ODR ENTERPRISES"
 "41.343895665407445,-95.96257728677085","O J'S CAFE"
 "41.290439963985875,-96.11843878766888","OLD CHICAGO"
 "41.26281952563678,-96.03733596400184","OLD CHICAGO"
 "41.256462714260124,-95.93070650332396","OLD CHICAGO"
 "41.232159111790956,-96.08527034409576","OLD FASHIONED GARDEN CAFÉ"
 "41.21624676002739,-96.09912092472906","OLD HOME BAKERY STORE"
 "41.255861031959284,-95.93184745302972","OLD MARKET BLUE"
 "41.25539252104522,-95.92934471325862","OLD MARKET CANDY SHOP"
 "41.21272954743404,-96.01745391699876","OLD MARKET SOURDOUGH"
 "41.254619967558824,-95.9292574055853","OLD MARKET TAVERN"
 "41.26424271327238,-95.93309751065044","OLD MATTRESS FACTORY BAR & GRILL (THE)"
 "41.26530904553562,-96.08551131101684","OLD MILL LOUNGE"
 "41.25968315058378,-96.02910013727819","OLIVE GARDEN (THE)"
 "41.23496978121864,-96.17907107888425","OLIVE GARDEN (THE) #1586"
 "41.24252408626478,-95.92937431744912","OLSEN'S BAKE SHOP"
 "41.31078262828862,-96.07582890992063","OMAHA CHRISTIAN ACADEMY"
 "41.25235308485696,-95.94707546640906","OMAHA CONOCO 101"
 "41.32775283498154,-96.0190726966515","OMAHA COUNTRY CLUB (THE)"
 "41.257383296006246,-95.9372533587132","OMAHA DOOZY'S"
 "41.2197442592626,-96.0039191204578","OMAHA GRILL"
 "41.260689999643944,-95.94059000012828","OMAHA INTERNATIONAL MARKET"
 "41.25239864214649,-95.93897907672203","OMAHA MINING COMPANY"
 "41.216398781313615,-96.04311157449467","OMAHA ORIENTAL FOOD & GIFTS"
 "41.22968727555308,-96.14708211641143","OMAHA POPCORN"
 "41.25965617092294,-95.93745922249252","OMAHA PRESS CLUB"
 "41.26232848190413,-96.03698910176045","OMAHA STEAKS"
 "41.21567932369015,-96.06230310659993","OMAHA STEAKS"
 "41.23421435071401,-96.18684122121743","OMAHA STEAKS"
 "41.260689999643944,-95.94059000012828","OMAHA STEAKSHOP"
 "41.20881749660663,-96.08457931326569","OMAHA STEAKSHOP"
 "41.229154416997,-96.1383808984178","ORANGE JULIUS"
 "41.217693805035765,-96.0815306115864","ORIENTAL TRADING COMPANY INC"
 "41.23975275204789,-95.96044685431794","OUR LADY OF LOURDES SCHOOL"
 "41.23708318798748,-96.11950898088372","OUTBACK STEAKHOUSE"
 "41.263289431921294,-96.03194199489076","OUTBACK STEAKHOUSE"
 "41.23335100156589,-96.09055980476057","OZARK SMOKED MEAT CO (THE)"
 "41.248755524469004,-96.03156195687392","PACIFIC CONVENIENT EXPRESS MART"
 "41.23378909932718,-95.93874850212532","PAISANO'S MEAT MARKET"
 "41.21545951226731,-96.12134770608179","PALMER HOUSE FOOD PROCESSING"
 "41.23498776765922,-96.19107702797544","PANDA EXPRESS"
 "41.29121338093108,-96.17902611278282","PANDA EXPRESS"
 "41.228208160736486,-96.13210862339966","PANERA BREAD"
 "41.264523028662666,-96.06701102755102","PANERA BREAD"
 "41.259653660191475,-96.03587666262678","PANERA BREAD"
 "41.26114207572844,-95.98052873900076","PANERA BREAD"
 "41.23427730325608,-96.19310949576163","PANERA BREAD"
 "41.20534611357351,-96.06483020150228","PAPA JOHN'S PIZZA"
 "41.28302577331194,-96.05277130184587","PAPA JOHN'S PIZZA"
 "41.26570860818009,-95.98301887649689","PAPA JOHN'S PIZZA #2795"
 "41.24535846625608,-96.15990557449133","PAPA JOHN'S PIZZA #2817"
 "41.234332126036634,-96.19268013877274","PAPA MURPHY'S PIZZA"
 "41.30822420746052,-96.05247020153855","PAPA MURPHY'S PIZZA"
 "41.21257752614787,-95.99378141295132","PAPA MURPHY'S PIZZA"
 "41.206326374585444,-96.1547174383308","PAPA MURPHY'S PIZZA"
 "41.23392608774618,-96.10082116000704","PAPA MURPHY'S PIZZA"
