 "41.25241662858707,-95.94798129023536","11 WORTH CAFÉ"
 "41.25470090654147,-95.93327737505626","13TH STREET COFFEE CO"
 "41.25245077800555,-95.94120967838933","20TH STREET LIQUOR & GROCERY"
 "41.211264770171915,-96.06210898622918","21ST AMENDMENT"
 "41.292003920858065,-96.1609901876007","7 MONKEYS"
 "41.309963593472105,-95.97766984552352","99 CENT GROCERY & VARIETY"
 "41.2897924521248,-96.05298613037638","ABELARDO'S MEXICAN FOOD"
 "41.20547201865759,-95.96102145966017","ABELARDO'S MEXICAN FOOD"
 "41.206749517945,-96.08150351629622","ABELARDO'S MEXICAN FOOD"
 "41.2650790827596,-95.99006956120655","A B'S DUNDEE 66"
 "41.23142192277632,-95.94225035597766","ADOBADO MEXICAN GRILL"
 "41.20184775087955,-95.95773893425326","AFOMA CORNER STORE"
 "41.2650790827596,-95.99081599849092","AGAVE"
 "41.25544734382578,-95.929554181855","AHMAD'S PERSIAN RESTAURANT"
 "41.23984199045801,-96.01470360888695","AKSARBEN CINEMA"
 "41.25238964892617,-95.96102145966017","ALDERMAN'S BAR"
 "41.267947920033066,-95.97353102908772","ALEXANDER'S BBQ CATERING"
 "41.28513396401303,-96.0266809610194","ALL NATIONS CLOTHING & GROCERIES"
 "41.25258749977263,-95.9470370021046","ALL NATIONS GROCERIES"
 "41.19571165749254,-96.00696245098113","AL VEYS YOUTH SPORTS COMPLEX"
 "41.22528408296307,-96.13193761132862","AMC OAKVIEW 24 THEATRES"
 "41.276951756253354,-95.94236981191607","AMERICAN G I FORUM"
 "41.26114005227129,-96.03701417113604","AMERICAN LEGION POST #1"
 "41.210364330496986,-95.94301703263358","AMERICAN LEGION POST #331"
 "41.25667941500592,-95.95984334780178","A MERRY OCCASION"
 "41.248684442165484,-96.10011959793201","ANDERSON AMOCO FOOD SHOP"
 "41.25909316445847,-96.09094969983065","ANDERSON AMOCO FOOD SHOP"
 "41.26240809633259,-96.1592230416976","ANDERSON AMOCO FOOD SHOP"
 "41.26248903531524,-96.09098248611434","ANDERSON FOOD SHOPS"
 "41.23453810664461,-96.13405101809752","ANDERSON STANDARD SERVICE"
 "41.25834316076015,-95.93718043266347","ANGELO'S ITALIANO"
 "41.219726272822015,-96.0251161406884","ANTHONYS RESTAURANT & LOUNGE"
 "41.233959749604615,-96.13925798933276","A PLUS BUFFET"
 "41.22841372362507,-96.01510668650229","APPLE VENDING"
 "41.260689999643944,-95.94059000012828","ARBY'S ROAST BEEF REST"
 "41.273291950314736,-95.98362242109715","ASIAN FAMILY MARKET"
 "41.26323460914074,-96.03281942737287","ASIAN FOOD MART"
 "41.26174471136048,-96.03135194313306","ASIAN MARKET"
 "41.283492920658496,-96.0527713030624","ASIAN WOK"
 "41.25662418119809,-95.95999714946504","ATTIC BAR & GRILL"
 "41.264523028662666,-96.06701102755102","AUNTIE ANNE'S - WESTROADS"
 "41.25241662858707,-95.95487009697979","AVANZA SUPERMARKET"
 "41.2596921438041,-96.03279635081861","BAG N SAVE"
 "41.2321998693684,-95.94105651060971","BAG N SAVE"
 "41.23390858122406,-96.14068801467374","BAG N SAVE"
 "41.20629040170428,-96.08148564548492","BAG N SAVE"
 "41.23449026971096,-96.13542042463051","BAJA GRILL"
 "41.31031116804578,-96.05245449069561","BAKER'S #311"
 "41.20436585256158,-96.1255704113612","BAKER'S #312"
 "41.25066295062993,-95.9864632798691","BAKER'S #319"
 "41.257523914254705,-95.94124128459949","BANGKOK CUISINE RESTAURANT"
 "41.25971017765339,-96.02679961395792","BARNES & NOBLE SUPERSTORE"
 "41.25239864214649,-95.97804562567484","BARRETT'S BARLEYCORN"
 "41.260689999643944,-95.94059000012828","BECKER DINING HALL"
 "41.2650790827596,-95.99006956120655","BEER & LOATHING DUNDEE"
 "41.281874655269895,-96.23737410217981","BELLA VITA RISTORANTE"
 "41.20025595088765,-95.96737067318702","BERE'S HALL"
 "41.262183265825286,-95.95673169358042","BEST WESTERN SEVILLE PLAZA"
 "41.25975182228888,-95.99017808207672","BEYOND IRELAND"
 "41.20722569661473,-96.08142269294285","BIG BOY'S BBQ"
 "41.260689999643944,-95.94059000012828","BIG FRED LOUNGE AND PIZZA"
 "41.23517662528536,-95.93333133437807","BIG HORN MOUNTAIN BBQ"
 "41.21076902541017,-96.06747420826844","BIG JOHN'S BILLIARDS INC"
 "41.20892807670609,-96.12724123305117","BIG MEATS"
 "41.26336137768362,-96.03935240841224","BIG RED KENO BAR & GRILL"
 "41.299109428348345,-95.94695606312195","BILL'S BAR-B-QUE"
 "41.255502166606334,-95.9308257167752","BILLY FROGG'S"
 "41.263445116176015,-96.0487994227688","BILLY FROGG'S WEST"
 "41.277560809067495,-96.10182243486095","BILLY K'S CAFE"
 "41.226908734271916,-95.99078424283564","BILLY'S CAFE"
 "41.23392960536295,-96.10230559429178","BISTRO 121"
 "41.2576588125591,-95.95935825349919","BLANC BURGERS & BOTTLES"
 "41.31603526810467,-95.9566321644501","BLESSED SACRAMENT SCHOOL"
 "41.28523000253999,-96.07046161464874","BLIMPIE SUBS & SALADS"
 "41.26514644327743,-95.98077080727116","BLIMPIE SUBS & SALADS"
 "41.23427730325608,-96.19310949576163","BLOCKBUSTER VIDEO"
 "41.260689999643944,-95.94059000012828","BLOCKBUSTER VIDEO #31007"
 "41.263316411582196,-96.03695121859397","BLOCKBUSTER VIDEO #31055"
 "41.26555543959025,-96.1279491475585","BLUE AGAVE"
 "41.261661659048286,-95.94769350718599","BLUEJAY BAR"
 "41.265133905540154,-95.98849964768634","BLUE LINE COFFEE"
 "41.26684482814122,-95.93436456347709","BLUE LINE COFFEE"
 "41.20616887453002,-96.1560056792589","BO BO CHINA"
 "41.28904601484044,-96.0766113200861","BOGIES BAR & GRILL"
 "41.305638506281014,-96.10067717759017","BOONDOCKERS"
 "41.20371834070045,-96.13568778419085","BOULDER CREEK (seasonal)"
 "41.271976882724346,-95.95019362242743","BOYS & GIRLS CLUB OF OMAHA"
 "41.19534565260767,-96.06199733710997","B P O ELKS LDOGE #0039"
 "41.28550127620349,-96.07177988234676","BRASS KNOCKER LOUNGE"
 "41.261813082457124,-96.0366415910175","BRAZEN HEAD IRISH PUB"
 "41.24778177477602,-96.09884228517393","BREAD OVEN (THE)"
 "41.213062296584894,-96.08141369972259","BREW BURGERS"
 "41.265788015856856,-96.07137905699352","BRICKHOUSE TAVERN & TAP"
 "41.303731943578896,-95.93734231062871","BROKEN RAIL INN"
 "41.23404347952845,-96.15928599423967","BROOKSIDE CAFE"
 "41.23401195490443,-96.14306003269428","BROTATO'S"
 "41.25964717770262,-95.97419652738944","BRUEGGER'S BAGEL BAKERY"
 "41.260689999643944,-95.94059000012828","BUCKY DEXTER'S"
 "41.259749880278406,-95.9564968860257","BUCKY'S AMOCO"
 "41.29442396057567,-96.11965287240844","BUCKY'S AMOCO #32"
 "41.22755936769721,-95.97585127992335","BUCKY'S EXPRESS"
 "41.23789257781385,-96.00535803570466","BUCKY'S EXPRESS"
 "41.231804167675534,-95.93447347335524","BUCKY'S EXPRESS #13"
 "41.28569154367119,-96.02390205594884","BUCKY'S EXPRESS #72"
 "41.26317832346732,-95.98049535095622","BUFFALO COMPANY"
 "41.247483802749684,-96.02241914444785","BURGER STAR"
 "41.26319184990429,-95.92917846964345","CABANA COFFEE @ QWEST"
 "41.23611192019587,-96.17801887210999","CAFÉ ANNIE'S"
 "41.211226306168726,-96.06210814086646","CAFÉ L"
 "41.260689999643944,-95.94059000012828","CALIFORNIA BAR PACKAGE"
 "41.26471528925004,-95.96043790266339","CALIFORNIA TACO'S & MORE"
 "41.264523028662666,-96.06701102755102","CANDYOPOLIS"
 "41.21549132952282,-96.04996828818325","CANTEEN CO OF OMAHA"
 "41.25929595643524,-95.9592227781842","CANTINA LEREDO #133"
 "41.303462146970105,-96.05207781512684","CANTON HOUSE"
 "41.26055349935761,-95.92935912062481","CAPITAL LOUNGE & SUPPER CLUB"
 "41.211929150827984,-96.08418361157283","CARLISLE HOTEL"
 "41.260689999643944,-95.94059000012828","CARNICERIA MEXICO"
 "41.24311763880411,-95.92937431744912","CASCIO'S STEAK HOUSE"
 "41.24779411335646,-95.933268381836","CASEY'S GENERAL STORE"
 "41.206271197815596,-96.1546175406157","CASEY'S GENERAL STORE"
 "41.20603859153607,-96.09857276404165","CASEY'S GENERAL STORE"
 "41.26369412683448,-95.96153407321691","CASS GAS N SHOP"
 "41.25239864214649,-95.97851327313009","CASTLE BARRETT"
 "41.30484494354157,-96.15813970503527","CAZUAL CUP (THE)"
 "41.286401621567606,-96.1279376291766","CHAMPIONS CLUB (THE)"
 "41.25430213849634,-96.25590826983328","CHANCE RIDGE EVENT CENTER"
 "41.218652497355706,-96.13888510645529","CHARLIE'S ON THE LAKE"
 "41.264101516117165,-96.0698457456642","CHEESECAKE FACTORY"
 "41.28132083860879,-95.98470960191196","CHICAGO DAWG HOUSE"
 "41.205795774588125,-96.12882595710727","CHINA BISTRO"
 "41.291060496186105,-96.1436018180487","CHINA BUFFET"
 "41.23238872699454,-96.04215829314364","CHINA GARDEN INC"
 "41.2777549492925,-96.03557517171913","CHINA GATE"
 "41.2654258585932,-95.98293781702142","CHINA PALACE RESTAURANT"
 "41.267956913253386,-95.94796330379472","CHINA TASTE RESTAURANT"
 "41.252380655705906,-95.96871965623097","CHINA TOWN"
 "41.202299848383824,-96.13636411147915","CHOO CHOO BAR & GRILL"
 "41.2355273608768,-95.93333133437807","CHOPS BOWLING ENT INC"
 "41.308397405047174,-96.07476214027815","CHOP STICK HOUSE"
 "41.26090138249108,-96.03138640831914","CHUCK E CHEESE"
 "41.24873840148723,-96.02234622883816","CLANCY'S PUB"
 "41.208042328435695,-95.94698781438328","CLUB EQUIS INC"
 "41.28609033664226,-96.05588869032992","CLUB MEX"
 "41.23529194541339,-96.10029502017161","COCO BONGO"
 "41.21618264219601,-96.07534899897024","COLOMBO DISTRIBUTION"
 "41.23525756426801,-96.18938630256031","COLOSSEUM ULTRA LOUNGE (THE)"
 "41.2887492385708,-96.07705198788045","COMFORT INN & SUITES"
 "41.323193272293,-95.93879021909589","COMMODITIES WAREHOUSE"
 "41.25239864214649,-95.97372887993419","COMMUNITY ALLIANCE INC"
 "41.23786559815301,-95.94222562924784","CONVENIENT WORLD"
 "41.24787956231548,-96.19621598764937","CORDIAL CHERRY (THE)"
 "41.2183413168969,-95.96994273419085","CORNER POCKET"
 "41.264747228168616,-96.19088239618974","CORVETTE CAFÉ (THE)"
 "41.215272253225386,-96.0431732143542","COSTA EL SOL"
 "41.251723085941045,-96.17910762612169","COURTNEY'S GRILL HOUSE"
 "41.24743438454476,-96.09876162166779","CRANE COFFEE"
 "41.259619334582965,-96.04134845365623","CRANE COFFEE/METHODIST HOSPITAL"
 "41.26042099151474,-95.95920237341782","CRAVE RESTAURANT"
 "41.264872529857,-95.94702432232639","CREIGHTON STUDENT CENTER"
 "41.22003290577078,-96.04594142900311","CRUISER'S"
 "41.21060714744493,-95.94173999535201","CRYSTAL BEVERAGE MART"
 "41.24023081509006,-96.02543090339867","CRYSTAL JADE"
 "41.29961783105765,-96.00254527588575","CUBBY'S"
 "41.25437148488217,-95.9332044525808","CUBBY'S OLD MARKET"
 "41.30980236727669,-95.97694845279909","CUBBY'S REDMAN"
 "41.27946823522842,-96.10054227928578","CUNNINGHAM'S"
 "41.25329198997974,-95.92962726515118","CUPCAKE CO-OP"
 "41.23497877443896,-96.13301679776379","DAIRY QUEEN"
 "41.236122845860145,-96.18284120076336","DAIRY QUEEN"
 "41.19435723432904,-95.976092009973","DARBYS TAVERN"
 "41.260689999643944,-95.94059000012828","DAVE'S TAVERN"
 "41.2576588125591,-95.96042790712082","DELICE EUROPEAN BAKERY & CAFÉ"
 "41.24759626251,-95.99014150696894","DELI EXPRESS"
 "41.28685591647638,-96.08138031369856","DELTA HOUSE"
 "41.2346190456272,-95.93333133437807","DINAH MART"
 "41.25617579466956,-95.9318384598094","DINER (THE)"
 "41.260689999643944,-95.94059000012828","DIOS GYROS"
 "41.226192398212675,-96.1439885265213","D & J BEVERAGE SERVICE INC"
 "41.26524300065584,-96.09107547401047","D J 'S DUGOUT"
 "41.26055418944929,-95.92925836723995","D J 'S DUGOUT"
 "41.299609243206746,-95.97122099061077","DOC'S LEGACY LOUNGE"
 "41.208869971760606,-96.12390862632105","DO HICKEY'S BAR & GRILL"
 "41.327545990914814,-95.95794577831998","DOLLAR TREE #2525"
 "41.293151338153294,-96.15828876761152","DOMINO'S PIZZA"
 "41.25354977434398,-95.95275669021095","DOMINO'S PIZZA"
 "41.253765611631025,-96.02391104916916","DOMINO'S PIZZA"
 "41.210787011850755,-95.94706398176544","DON GABY'S RESTAURANT"
 "41.20532812713293,-96.04395693720221","DON & MILLIE'S"
 "41.247483802749684,-96.02241914444785","DONUT PROFESSOR (THE)"
 "41.246166340483455,-95.93328636827658","DONUT STOP"
 "41.24023081509006,-96.02540392373777","DOUBLETREE GUEST SUITES HOTEL"
 "41.25965617092294,-95.93745922249252","DOUBLETREE HOTEL & EXEC MEETING"
 "41.26788410403225,-95.97871166356974","DOUGER'S LOUNGE"
 "41.24374630076579,-95.92143968911678","DOUGLAS CO WEST HIGH SCHOOL"
 "41.25243547848646,-95.96919150055507","DOWN UNDER BAR"
 "41.24797203916373,-96.19621844278693","DRAFT HOUSE"
 "41.300332506308166,-95.95653384273396","DRAGON 88"
 "41.25974696658466,-96.03248895801121","DRAGON CAFÉ EXPRESS"
 "41.21688883657389,-95.96259620846129","DRIFT INN BAR"
 "41.33779826204881,-95.96082360881377","D'S FRONTIER"
 "41.26438484014274,-95.99032861616821","DUNDEE CORK & BOTTLE"
 "41.26027670312317,-95.99026741205302","DUNDEE DOUBLE SHOT"
 "41.25968315058378,-95.98970983239485","DUNDEE THEATRE"
 "41.241525838812265,-95.96814409013223","EAGLE FOOD MART/SELECT MART"
 "41.252361805806515,-95.94956484646988","EAST AFRICA GROCERY STORE"
 "41.25539252104522,-95.93205493760676","EAT THE WORM"
 "41.30654682153062,-96.09969691657824","EDDYS"
 "41.269722215919906,-96.23462292087","EDDYS ELKHORN"
 "41.23310649749201,-96.17847138102486","EDIBLE ARRANGEMENTS"
 "41.25237166248559,-95.9953395882983","EDUCATED BAKER (THE)"
 "41.26559791523041,-96.22990485598595","EINSTEIN'S CAFÉ"
 "41.3103935122414,-95.95663041794657","EINSTEIN'S CAFÉ"
 "41.212621628790544,-95.96251433422884","EL 7 DE COPAS"
 "41.20211754748834,-95.94706398176544","EL 7 MARES"
 "41.23254161173952,-95.94077772078066","EL AGUILA RESTAURANT"
 "41.241497995692555,-95.9894902154568","ELBOW ROOM"
 "41.211933859928465,-96.03369933624182","EL CARIBE"
 "41.19378083227673,-95.93965356824401","EL CATRIN"
 "41.205903693231676,-95.94707297498576","EL DORADO"
 "41.25233482614561,-95.96034411418732","EL FINITO"
 "41.250869794696655,-95.94708196820602","EL GUAPO"
 "41.286809969442935,-96.23141984827143","ELKHORN EAGLES"
 "41.21234283896143,-95.94174898857227","EL MALECON"
 "41.210995954319515,-95.94731187716876","EL MUNDO DE MEXICO CARDENAS"
 "41.21172230676126,-95.94858383599495","EL MUSEO LATINO"
 "41.205391079674996,-95.9716244663856","EL PARAISO"
 "41.235302530369495,-96.1195539469852","EL POTRERO"
 "41.21672253724415,-95.9470370021046","EL RANCHITO"
 "41.2427039506706,-95.93331334793743","ERICK'S ENCHILADAS"
 "41.237910564254435,-95.93334032759833","EVERY DAY SHOP"
 "41.29058007835757,-95.95650584492435","EXPRESS U"
 "41.267158126667965,-96.09133297027014","EXTREME PIZZA"
 "41.26257834265785,-96.16074297021817","EZ'S PLACE"
 "41.26998038781932,-95.93600232080507","FAIRFIELD INN & SUITES"
 "41.254386143831255,-95.93221617506168","FAIRMONT ANTIQUE / HOLLYWOOD CANDY"
 "41.2063716886858,-96.0815535293061","FAMILY DOLLAR"
 "41.25967415736352,-95.97878306973888","FAMILY DOLLAR"
 "41.29969485112616,-95.99098210856802","FAMILY DOLLAR #1966"
 "41.25238964892617,-95.96597672404164","FAMILY DOLLAR #2254"
 "41.31910135705965,-95.95655182917454","FAMILY DOLLAR #2311"
 "41.27346975729296,-95.98354947649415","FAMILY DOLLAR #5194"
 "41.24245950280506,-95.93324277943198","FAMILY DOLLAR #5376"
 "41.2511126116446,-95.94707297498576","FAMILY DOLLAR #5542"
 "41.29186089279216,-96.1164962520856","FAMOUS DAVE'S BBQ"
 "41.211317611848074,-96.10154052673829","FAMOUS DAVE'S BBQ"
 "41.299280299533905,-96.02106919155653","FAMOUS DAVE'S BBQ"
 "41.29121338093108,-96.17949376023802","FANTASY FOOD & FUEL"
 "41.21512174403199,-96.1378911231626","FANTASY'S INC"
 "41.25234381936593,-95.98787609980086","FARMERS MARKET"
 "41.245437889639675,-95.95573344612791","FAST STOP"
 "41.26681249325319,-96.0910144396323","FATBURGER"
 "41.260689999643944,-95.94059000012828","FATHI RESTAURANT"
 "41.26337037090394,-96.0384800660438","FAZOLI'S RESTAURANT"
 "41.20969883219533,-95.94516641228364","FELIX HALL LLC"
 "41.26183852921706,-96.0910483494785","FERNANDO'S"
 "41.233980237706014,-96.14161477276294","FETA'S GYROS"
 "41.24515851875751,-95.96665091090787","FIELD CLUB OF OMAHA"
 "41.25964717770262,-96.02624029322504","FIVE GUYS BURGER & FRIES"
 "41.25757873703526,-95.9414612055229","FLAVORS RESTAURANT"
 "41.22737051007107,-95.97585127992335","FOOD COURT"
 "41.3676925553717,-95.9832906040058","FORGOT STORE (THE)"
